CVE_ENT,ENTIDAD,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,Anio2017
1,Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Baja California,878507.0751,804441.3997,943976.1239,963257.5274,1004699.629,1122626.557,1331424.916,1345083.601,1073796.429,912368.0561,841532.699,776884.3588,11998598.37
3,Baja California Sur,176185.7514,159924.0947,190466.2436,193766.4634,202423.1947,206226.4235,240072.1187,262663.2473,209833.313,230752.5409,195316.519,175690.3879,2443320.298
4,Campeche,60408.12083,47572.34585,87758.33421,100213.499,82409.62846,71751.5759,44429.644,66191.28398,76427.76277,40254.15544,25063.44074,15130.6064,717610.3976
7,Chiapas,278500.123,537263.786,724285.651,1031005.109,1628753.191,1724404.97,974821.135,960859.589,915951.341,768962.133,897493.636,505632.417,10947933.08
8,Chihuahua,1184810.367,1052353.971,1324850.593,1277362.979,1315710.851,1255501.164,1331552.822,1125714.301,1135245.608,1128838.937,1188864.985,1100757.055,14421563.63
5,Coahuila,1308939.99,1178079.327,1064477.67,1299937.636,1393936.844,1354658.22,1374500.197,1322494.882,1163051.634,1106946.62,910481.5032,950036.4775,14427541
6,Colima,958987.933,931150.804,928705.801,989342.686,1417789.699,1376754.444,1530456.724,1602946.664,1384023.725,1135263.113,1053458.451,1156388.281,14465268.33
9,Distrito Federal,49810.5,44962.8,58329.2,68896.116,93150.33,93191.07355,75571.6,98100.8,62145.4,69524.06,59401.4,41653.2,814736.4796
10,Durango,598427.3717,633799.08,852421.7194,762959.3297,816782.4306,839183.5152,829255.77,859977.9246,806750.3527,722701.9361,673676.9634,685291.8872,9081228.281
15,Edo. de México,398359.238,459395.337,402237.596,355104.463,410991.601,520004.8746,538502.344,663644.237,546914.728,575896.74,607628.846,605510.76,6084190.765
11,Guanajuato,438488.2217,486031.5879,585295.0727,662267.7324,770577.8411,785690.6491,812845.4895,870033.7301,691345.2026,741018.8362,661737.5142,640500.9712,8145832.849
12,Guerrero,1557059.508,1443447.835,1621316.466,1498417.775,1521217.619,1725733.664,2005828.949,2072775.76,1947474.964,1810632.943,1481206.366,1127857.789,19812969.64
13,Hidalgo,888969.586,811820.931,791191.984,916013.518,1128615.825,1132785.892,1104921.124,967387.718,870281.983,984411.291,1013943.707,879677.539,11490021.1
14,Jalisco,26766.602,25767.438,33570.662,33278.159,35065.362,34334.69,86745.469,89715.338,101144.533,79838.196,28136.672,27359.201,601722.322
16,Michoacán,399319.483,325371.341,505176.599,728024.139,663394.64,517911.958,522774.907,745239.889,1137626.517,1063071.887,427620.29,422996.483,7458528.133
17,Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nayarit,75713.445,50027.549,62995.029,313236.461,867212.335,725880.159,85916.076,398818.332,252892.208,275213.057,110554.397,62774.511,3281233.559
19,Nuevo León,548713.6703,473802.5137,595595.9574,585604.8885,656475.5667,637702.1094,651205.0435,644583.6362,653318.9088,669509.0636,664236.7859,669639.0239,7450387.168
20,Oaxaca,227909.9828,304511.0229,398982.8981,310591.1057,206044.2463,233575.6902,396173.1736,192622.4167,202694.7315,397716.4652,283829.6594,341795.5936,3496446.986
21,Puebla,356637.878,313170.326,302602.004,316303.799,339848.834,332128.639,391082.628,413277.614,444942.7,501954.408,357977.438,305765.087,4375691.355
22,Querétaro,362685.604,337154.088,413261.28,411363.388,372868.724,412868.032,438978.796,342038.68,273159.58,298653.6,299384.772,380591.02,4343007.564
23,Quintana Roo,2765.03672,2680.98005,5416.394149,14296.3782,32547.44355,18287.05624,8832.467512,8346.979,11239.24327,2337.106823,1862.264916,1759.471534,110370.822
24,San Luis Potosí,921913.8328,820833.8028,943317.1746,1028607.942,1171812.715,1066554.732,984401.9354,1092830.816,827420.8745,905962.3462,897495.3881,852632.7435,11513784.3
25,Sinaloa,550632.128,456181.861,555544.758,442261.816,476146.459,624067.607,393074.031,717432.641,630621.278,674391.793,606119.791,399097.011,6525571.174
26,Sonora,996085.6541,894200.0849,981091.9551,1043763.678,1277298.824,1307556.829,1298144.102,1383950.69,1156949.847,1070360.474,991152.9752,867760.5013,13268315.61
27,Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Tamaulipas,2229587.165,2280514.252,2693341.991,2448833.408,2691995.943,2516737.196,2486479.396,3021017.624,2810964.797,2761517.19,2798864.369,2342102.798,31081956.13
29,Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Veracruz,3080130.276,2637857.056,3247863.794,2872122.247,2892107.961,3230214.669,3240716.696,2958548.867,2510306.149,2247979.233,2021712.734,2699346.942,33638906.62
31,Yucatán,371959.3383,354571.1132,312144.8761,392515.7316,379399.9206,459873.4351,453721.5751,487914.7731,432461.4954,456986.5723,348904.8413,275912.2308,4726365.903
32,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0
